"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"delta_y[1053]",5438.42764283997,0.00960230138395589,0.713148266792742,5436.75890937705,5437.99768497186,5438.53883290743,5438.99416860289,5439.40543177407,5515.80617024232,0.999864361788892
"delta_y[1054]",5435.59772510779,0.0108640077241606,0.584416471397096,5434.39163198244,5435.20808550079,5435.60985010734,5436.01095282832,5436.68675578279,2893.77502468746,1.0003245207105
"delta_y[1055]",5434.74975911915,0.00971748517229617,0.73157660960887,5433.81210433647,5434.18007704525,5434.59682535842,5435.17346496193,5436.46923113615,5667.76519296171,0.999542587320523
"delta_y[1056]",5456.25392561726,0.0134495640877146,0.905954863578183,5454.43241661297,5455.62636071036,5456.25551728853,5456.92068403761,5457.88939203626,4537.29173695974,1.00044375873302
"delta_y[1057]",5455.0001977727,0.00797451438601738,0.565001740974874,5453.84829477732,5454.633220478,5455.01848423753,5455.38236027455,5456.07488342798,5019.85393406851,1.00014328544506
"delta_y[1058]",5455.78702854666,0.00958693023263746,0.580067990524856,5454.672607097,5455.40339544724,5455.77018260811,5456.14849996593,5456.98219234265,3660.9910552563,0.999274142803763
"delta_y[1059]",5456.13882696659,0.0141446311820927,0.853201091258645,5454.44455536607,5455.56506776589,5456.14265382916,5456.7436131498,5457.7382460675,3638.47628717965,1.00010399000082
"delta_y[1060]",5454.27611142275,0.0135221778188312,0.869220499553703,5452.64916493567,5453.63859921876,5454.30562285663,5454.88611842744,5455.91709906497,4132.060149627,1.00007263895029
"delta_y[1061]",5453.99166573676,0.0129347419099623,0.9502257686097,5452.53449876637,5453.21057335616,5453.90012009342,5454.67410653193,5455.91503824512,5396.82172518099,0.999433841945794
"delta_y[1062]",5453.55787851013,0.0118480124181336,0.720249939569059,5452.4957873083,5452.98265169054,5453.47177627045,5454.03039455496,5455.16537090719,3695.51917129724,0.999353789886079
"delta_y[1063]",5453.53707313421,0.0108768488460469,0.815013263114595,5452.47890289799,5452.87833706764,5453.38026012586,5454.04272449006,5455.44359692093,5614.6561695524,1.00010205314697
"delta_y[1064]",5457.16263517482,0.00817240390513216,0.564240682534763,5455.90354597545,5456.7753116374,5457.21796718704,5457.61220625074,5458.0099877218,4766.82432710891,0.999564654590197
"delta_y[1065]",5455.63395882124,0.0142910496196141,0.94868400084869,5453.74074057239,5454.99029977345,5455.64346248347,5456.29808492597,5457.43261657003,4406.71433839035,0.999623530477134
"delta_y[1066]",5456.66080699058,0.0127152122833186,0.743766955908499,5455.18857049764,5456.11912625459,5456.68674260062,5457.22861607645,5457.96185304111,3421.57866136926,1.00071014797955
"delta_y[1067]",5454.08527301313,0.0140218973476986,0.902595086946287,5452.55608408314,5453.38000284527,5454.05856608682,5454.73668390207,5455.87773869289,4143.5478995925,1.00111971769334
"delta_y[1068]",5455.79922073537,0.0139803980879277,0.9494809644109,5453.89648189936,5455.17823813198,5455.79666233845,5456.44743843751,5457.64527840502,4612.46887432433,0.999535511128885
"delta_y[1069]",5456.95272429971,0.00965957706070142,0.713488138643087,5455.40598209713,5456.46790742093,5457.025634978,5457.5228594323,5458.02147641111,5455.78556269133,0.999541758241496
"delta_y[1070]",5457.03775781524,0.0094311774459955,0.73688399530531,5455.41065213924,5456.53129717073,5457.16723326128,5457.6529464269,5458.02788637715,6104.72936824569,0.999872489993372
"delta_y[1071]",5454.47065030387,0.0136978838488736,0.785410969696393,5452.85686293676,5453.94652586681,5454.5367727655,5455.03830479144,5455.87845416985,3287.66052271073,0.999890833189415
"delta_y[1072]",5453.42081264513,0.00931364655307285,0.665632403907227,5452.47861846835,5452.87912688188,5453.31836631242,5453.86228807905,5454.89009759366,5107.74733985135,1.00025395572164
