"rho1","rho2","rho3","loglik2.5","loglik50","loglik97.5","rho0_2.5","rho0_50","rho0_97.5","rho1_2.5","rho1_50","rho1_97.5","rho2_2.5","rho2_50","rho2_97.5","rho3_2.5","rho3_50","rho3_97.5","rhomax_2.5","rhomax_50","rhomax_97.5"
0.3,-0.25,0,NA,NA,NA,-0.175995131689065,0.0119225580913585,0.202755835351187,0.300688801349198,0.397626789737316,0.503806032439241,-0.239799770652608,0.0488320928200813,0.334097276735805,-0.0805102872045957,0.0369745779769562,0.152947454643872,1.37047745859884,1.61373254052834,1.91345693767609
0.3,-0.5,-0.1,NA,NA,NA,-0.169472965197176,0.0219210084596393,0.211036103409005,0.187395632470301,0.276138644238939,0.367879917060528,-0.590853355622829,-0.32687549116668,-0.03284055154523,-0.193413747711776,-0.117845152227655,-0.0348004029600974,1.23326677596375,1.44156806622845,1.70486260164874
0.4,0.25,0,NA,NA,NA,-0.165511567127823,0.0299681746573601,0.224848202170032,0.255242485765326,0.348007087440242,0.452902865873542,-0.0492865977123248,0.18308662407979,0.443532125507352,-0.0813671442932254,0.000681381809728003,0.0990627934624227,1.45472459498729,1.70797678690823,2.03656923591219
0.4,-0.25,0,NA,NA,NA,-0.163287860940843,0.0343545941686644,0.232846518310773,0.251566666159498,0.346814819735145,0.451622954408818,-0.507158822199416,-0.214445406969947,0.0921559816720962,-0.060649616407878,0.0553610617357539,0.17605862881165,1.36131100340465,1.60823105286495,1.89827026660725
0.2,0.25,0.05,NA,NA,NA,-0.174358889649755,0.0243395563794222,0.218476157924292,0.110406163200036,0.20590626050561,0.314191748604475,-0.586308842141725,-0.0673791456824861,0.478974969136584,-0.262042918414168,-0.0802409830149479,0.102825050927916,1.39426282273222,1.64689393609797,1.99705175767902
0.1,0.25,0,NA,NA,NA,-0.169165587243807,0.0224168595340225,0.215481803254913,0.0201316441655505,0.107127327507665,0.196826550146037,0.137425248328305,0.346813412854552,0.551404920910068,0.0245596362089536,0.0911765947739743,0.156155277688512,1.2767541445238,1.51454095121051,1.78890897300854
0.4,-0.5,-0.1,NA,NA,NA,-0.159268277374145,0.0306724009239021,0.221620487384017,0.316421223275336,0.42540230395284,0.549941789660348,-0.587297804870598,-0.352374609387143,-0.0659275381773601,-0.173680261110341,-0.0796889648289505,0.0236976727475391,1.27276294800139,1.51249963119805,1.81606474864322
0.3,0.25,0.05,NA,NA,NA,-0.168315584566016,0.0263229519611209,0.222501668452509,0.0630390918055888,0.161040429902585,0.262113439288414,-0.199991641179266,0.10021154852964,0.562217935235347,-0.0888744744229521,0.015994589425587,0.141950945323458,1.35544468992281,1.66262096071373,2.01560488643779
0,0.25,-0.05,NA,NA,NA,-0.169224348007865,0.0201256457024097,0.210094176781417,0.028241320401127,0.10371758230374,0.185406012173427,-0.217452537437232,0.088591448066036,0.37456945180953,-0.131305634187275,-0.0437147698805034,0.0314547704285671,1.26330451918253,1.48755593073462,1.77343541082748
0.3,0.25,0,NA,NA,NA,-0.189262927841286,0.017985342381692,0.220972788256089,0.0910583816427003,0.178119836513509,0.274673034919604,-0.0567942085858533,0.129154483125181,0.305067853140307,-0.0931589722991445,-0.0347866914529387,0.0161133801320648,1.24954894253784,1.48440927965873,1.78528976468562
0.5,-0.5,-0.1,NA,NA,NA,-0.180614603497785,0.010766491869709,0.209684168293511,0.327997119007871,0.429858151652374,0.547200624751216,-0.622676202556023,-0.422133669875,-0.221065566544471,-0.209821705918437,-0.123556046167752,-0.0422824925689889,1.48658164413647,1.75004604219107,2.07774036217081
0.1,0.25,0.05,NA,NA,NA,-0.165863026343178,0.0254320735651183,0.22039592688871,-0.0499817840133626,0.0355151074843786,0.117705101537178,-0.202405429158151,0.21474180761023,0.764692325337221,-0.113673725856821,0.0380197758282835,0.19511212843498,1.37962263959207,1.62790829159483,1.93755623467035
0.1,-0.25,-0.05,NA,NA,NA,-0.17175196596778,0.0199283836066578,0.206759421857405,0.00687707537315474,0.100065782357262,0.192793872281892,-0.442262022871623,-0.135420682401542,0.155857865272539,-0.169155979044282,-0.0779898810518531,0.00767807585177402,1.28955467698875,1.52859156054131,1.86703621119623
