number,family,genus,species,sci_name,crude_protein[%],type,europe,north_america,south_america,africa,asia,australia,citation
143,Myrtaceae,Eucaplyptus,saligna,Eucaplyptus saligna,27.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
144,Polygonaceae,Fagopyrum,esculentum,Fagopyrum esculentum,11.4,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
145,Polygonaceae,Fagopyrum,esculentum,Fagopyrum esculentum,16.3,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
146,Fouquieriaceae,Fouquieria,splendens,Fouquieria splendens,46.9,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
147,Rosaceae,Fragaria,spp.,Fragaria spp.,21.6,crop,yes,yes,yes,yes,yes,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
148,Rosaceae,Fragaria,spp.,Fragaria spp.,21.8,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
149,Oleaceae,Fraxinus,spp.,Fraxinus spp.,23.1,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
150,Gelsemiaceae,Gelsemium,sempervirens,Gelsemium sempervirens,42.3,wild,NA,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
151,Rubiaceae,Genipa,americana,Genipa americana,40.8,crop,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
152,Malvaceae,Gossypium,thurberi,Gossypium thurberi,21.1,wild,NA,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
153,Proteaceae,Hakea,sericea,Hakea sericea,18.4,wild,yes,NA,NA,yes,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
154,Araliaceae,Hedera,helix,Hedera helix,28.1,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
155,Araliaceae,Hedera,sp.,Hedera sp.,28,wild,yes,yes,yes,yes,yes,yes,"Odoux, J. F., Feuillet, D., Aupinel, P., Loublier, Y., Tasei, J. N., & Mateescu, C. (2012). Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies. Apidologie, 43(5), 561-575."
156,Asteraceae,Helianthus,annuus,Helianthus annuus,30.6,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
157,Asteraceae,Helianthus,annuus,Helianthus annuus,13.4,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
158,Asteraceae,Helianthus,annuus,Helianthus annuus,18.5,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
159,Asteraceae,Helianthus,annuus,Helianthus annuus,17.6,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
160,Asteraceae,Helianthus,annuus,Helianthus annuus,15,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
161,Asteraceae,Helianthus,anuus,Helianthus anuus,16.3,crop,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
162,Asteraceae,Helianthus,spp.,Helianthus spp.,14.4,NA,NA,NA,NA,NA,NA,NA,"Tasei, J. N., & Aupinel, P. (2008). Nutritive value of 15 single pollens and pollen mixes tested on larvae produced by bumblebee workers (Bombus terrestris, Hymenoptera: Apidae). Apidologie, 39(4), 397-409."
163,Asteraceae,Helianthus,ssp.,Helianthus ssp.,15,NA,yes,NA,NA,NA,NA,NA,"Odoux, J. F., Feuillet, D., Aupinel, P., Loublier, Y., Tasei, J. N., & Mateescu, C. (2012). Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies. Apidologie, 43(5), 561-575."
164,Malvaceae,Hibiscus,laevis,Hibiscus laevis,23.7,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
165,Hypericaceae,Hypericum,perforatum,Hypericum perforatum,30.3,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
166,Hypericaceae,Hypericum,spp.,Hypericum spp.,27,weed,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
167,Asteraceae,Hypochoeris,radicata,Hypochoeris radicata,15.9,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
168,Asteraceae,Hypochoeris,radicata,Hypochoeris radicata,18.4,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
169,Asteraceae,Hypochoeris,radicata,Hypochoeris radicata,15.7,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
170,Asteraceae,Hypochoeris,radicata,Hypochoeris radicata,16.2,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
171,Convolvulaceae,Ipomoea,squamosa,Ipomoea squamosa,26.8,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
172,Convolvulaceae,Ipomoea,tiliacea,Ipomoea tiliacea,30.1,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
173,Amaranthaceae,Kali,tragus,Kali tragus,31.3,weed,yes,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
174,Zygophyllaceae,Larrea,tridentata,Larrea tridentata,45.4,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
175,Lamiaceae,Lavandula,sp.,Lavandula sp.,19.4,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
176,Asteraceae,Leucanthemum,vulgare,Leucanthemum vulgare,28,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
177,Campanulaceae,Lobelia,siphilitica,Lobelia siphilitica,47.9,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
178,Fabaceae,Lonchocarpus,oliganthus,Lonchocarpus oliganthus,48.1,wild,NA,NA,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
179,Malvaceae,Luehea,seemanii,Luehea seemanii,42.5,wild,NA,NA,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
180,Fabaceae,Lupinus,angustifolius,Lupinus angustifolius,34.2,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
181,Fabaceae,Lupinus,angustifolius,Lupinus angustifolius,32.6,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
182,Fabaceae,Lupinus,angustifolius,Lupinus angustifolius,28,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
183,Lamiaceae,Origanum,majorana,Majoranum sp.,18.6,crop,yes,yes,yes,NA,NA,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
184,Loasaceae,Mentzelia,pumila,Mentzelia pumila,39.7,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
185,Euphorbiaceae,Mercurialis,annua,Mercurialis annua,16.2,weed,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
186,Melastomataceae,Miconia,argentea,Miconia argentea,52,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
187,Amaryllidaceae,Narcissus,poeticus,Narcissus poeticus,44.4,wild,yes,yes,NA,NA,NA,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
188,Nymphaceae,Nuphar,lutea,Nuphar lutea,41.1,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
189,Onagraceae,Oenothera,speciosa,Oenothera speciosa,26,wild,yes,yes,yes,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
190,Fabaceae,Olneya,tesota,Olneya tesota,44.4,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
191,Fabaceae,Onobrychis,viciifolia,Onobrychis viciifolia,32.3,wild,yes,yes,NA,NA,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
192,Cactaceae,Cylindropuntia,arbuscula,Opuntia arbuscula,28.8,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
193,Cactaceae,Cylindropuntia,ficus-indica,Opuntia ficus-indica,25.5,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
194,Cactaceae,Cylindropuntia,phaecantha,Opuntia phaecantha,22.2,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
195,Cactaceae,Cylindropuntia,santarita,Opuntia santarita,28.7,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
196,Cactaceae,Cylindropuntia,versicolor,Opuntia versicolor,28,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
197,Papaveraceae,Papaver,rhoeas,Papaver rhoeas,24.5,crop,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
198,Papaveraceae,Papaver,sp.,Papaver sp.,25.8,crop,yes,yes,yes,yes,yes,yes,"Odoux, J. F., Feuillet, D., Aupinel, P., Loublier, Y., Tasei, J. N., & Mateescu, C. (2012). Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies. Apidologie, 43(5), 561-575."
199,Papaveraceae,Papaver,spp.,Papaver spp.,24.9,NA,NA,NA,NA,NA,NA,NA,"Tasei, J. N., & Aupinel, P. (2008). Nutritive value of 15 single pollens and pollen mixes tested on larvae produced by bumblebee workers (Bombus terrestris, Hymenoptera: Apidae). Apidologie, 39(4), 397-409."
200,Fabaceae,Papilionaceae,spp.,Papilionaceae spp.,21.5,NA,NA,NA,NA,NA,NA,NA,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
201,Fabaceae,Parkinsonia,aculeata,Parkinsonia aculeata,33.4,wild,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
202,Fabaceae,Parkinsonia,microphylla,Parkinsonia microphylla,46.2,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
203,Poaceae,Paspalum,notatum,Paspalum notatum,28.2,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
204,Hydrophyllaceae,Phacelia,campanularia,Phacelia campanularia,59,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
205,Viscaceae,Phoradendron,califomicum,Phoradendron califomicum,32.3,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
206,Pinaceae,Pinaceae,spp.,Pinaceae spp.,10,NA,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
207,Plantaginaceae,Plantago,lanceolata,Plantago lanceolata,23.9,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
208,Plantaginaceae,Plantago,lanceolata,Plantago lanceolata,22.9,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
209,Salicaceae,Populus,tremula,Populus tremula,18.25,wild,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
210,Primulaceae,Primula,clevelandii,Primula clevelandii,61.7,weed,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
211,Primulaceae,Primula,pulchella,Primula pulchella,47.5,weed,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
212,Fabaceae,Prosopis,velutina,Prosopis velutina,39,weed,NA,yes,NA,yes,NA,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
213,Rosaceae,Prunus,amygdalus,Prunus amygdalus,25.1,crop,yes,yes,yes,NA,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
214,Rosaceae,Prunus,amygdalus,Prunus amygdalus,30.7,crop,yes,yes,yes,NA,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
215,Rosaceae,Prunus,amygdalus,Prunus amygdalus,24.4,crop,yes,yes,yes,NA,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
216,Rosaceae,Prunus,communis,Prunus communis,43.6,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
217,Rosaceae,Prunus,padus,Prunus padus,28.5,crop,yes,yes,yes,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
218,Rosaceae,Prunus,persica,Prunus persica,38,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
219,Rosaceae,Prunus,spp.,Prunus spp.,29.4,NA,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
220,Fabaceae,Pueraria,montana,Pueraria montana,48.8,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
221,Rosaceae,Pyrus,communis,Pyrus communis,26.2,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
222,Fagaceae,Quercus,coccifera,Quercus coccifera,19,wild,yes,yes,NA,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
223,Fagaceae,Quercus,ilex,Quercus ilex,19,wild,yes,yes,NA,NA,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
224,Ranunculaeceae,Ranunculus,spp.,Ranunculus spp.,17.8,NA,yes,NA,NA,NA,NA,NA,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
225,Brassicaceae,Rapistrum,rugosum,Rapistrum rugosum,22.7,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
226,Brassicaceae,Rapistrum,rugosum,Rapistrum rugosum,27.1,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
227,Brassicaceae,Rapistrum,rugosum,Rapistrum rugosum,24.9,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
228,Resedaceae,Reseda,lutea,Reseda lutea,27.5,weed,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
229,Melastomataceae,Rhexia,mariana,Rhexia mariana,60,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
230,Rosaceae,Rosa,pecosensis,Rosa pecosensis,44.5,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
231,Rosaceae,Rubus,sp.,Rubus sp.,25.1,crop,yes,NA,NA,NA,NA,NA,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
232,Rosaceae,Rubus,spp.,Rubus spp.,22,crop,yes,NA,NA,NA,NA,NA,"Di Pasquale, G., Salignon, M., Le Conte, Y., Belzunces, L. P., Decourtye, A., Kretzschmar, A. & Alaux, C. (2013). Influence of pollen nutrition on honey bee health: do pollen quality and diversity matter?. PloS one, 8(8), e72016."
233,Rosaceae,Rubus,spp.,Rubus spp.,19.2,crop,NA,NA,NA,NA,NA,NA,"Tasei, J. N., & Aupinel, P. (2008). Nutritive value of 15 single pollens and pollen mixes tested on larvae produced by bumblebee workers (Bombus terrestris, Hymenoptera: Apidae). Apidologie, 39(4), 397-409."
234,Rosaceae,Rubus,spp.,Rubus spp.,28.8,crop,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
235,Polygonaceae,Rumex,spp.,Rumex spp.,13.1,NA,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
236,Salicaceae,Salix,caprea,Salix caprea,36.8,wild,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
237,Salicaceae,Salix,discolor,Salix discolor,21.9,wild,yes,yes,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
238,Salicaceae,Salix,fragilis,Salix fragilis,15,wild,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
